STATE,YEAR,MONTH_NAME,EVENT_TYPE
ALASKA,2000,January  ,High Wind
CALIFORNIA,2000,January  ,Heavy Snow
CALIFORNIA,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
UTAH,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Heavy Snow
HAWAII,2000,January  ,Drought
HAWAII,2000,January  ,Drought
HAWAII,2000,January  ,Drought
HAWAII,2000,January  ,Drought
HAWAII,2000,January  ,Drought
ALASKA,2000,January  ,Blizzard
ALASKA,2000,January  ,High Wind
ARIZONA,2000,January  ,Heavy Snow
ALASKA,2000,January  ,High Wind
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
NEW MEXICO,2000,January  ,Drought
ARIZONA,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
UTAH,2000,January  ,Winter Storm
MONTANA,2000,January  ,Heavy Snow
IDAHO,2000,January  ,Heavy Snow
IDAHO,2000,January  ,Heavy Snow
MONTANA,2000,January  ,Heavy Snow
MONTANA,2000,January  ,Heavy Snow
COLORADO,2000,January  ,Winter Storm
COLORADO,2000,January  ,Winter Storm
OREGON,2000,January  ,Heavy Snow
ARIZONA,2000,January  ,Heavy Snow
ARIZONA,2000,January  ,Heavy Snow
ARIZONA,2000,January  ,Heavy Snow
ALASKA,2000,January  ,Extreme Cold/Wind Chill
ARIZONA,2000,January  ,Heavy Snow
ARIZONA,2000,January  ,Heavy Snow
ARIZONA,2000,January  ,Heavy Snow
CALIFORNIA,2000,January  ,High Wind
MICHIGAN,2000,January  ,Heavy Snow
MICHIGAN,2000,January  ,Heavy Snow
MICHIGAN,2000,January  ,Heavy Snow
CALIFORNIA,2000,January  ,High Wind
MICHIGAN,2000,January  ,Heavy Snow
MICHIGAN,2000,January  ,Heavy Snow
MICHIGAN,2000,January  ,Heavy Snow
MICHIGAN,2000,January  ,Heavy Snow
MICHIGAN,2000,January  ,Heavy Snow
WISCONSIN,2000,January  ,Heavy Snow
WISCONSIN,2000,January  ,Heavy Snow
WISCONSIN,2000,January  ,Heavy Snow
WISCONSIN,2000,January  ,Heavy Snow
WISCONSIN,2000,January  ,Heavy Snow
WISCONSIN,2000,January  ,Heavy Snow
WISCONSIN,2000,January  ,Heavy Snow
WISCONSIN,2000,January  ,Heavy Snow
NEBRASKA,2000,January  ,Winter Storm
ALASKA,2000,January  ,Extreme Cold/Wind Chill
VIRGINIA,2000,January  ,Excessive Heat
WEST VIRGINIA,2000,January  ,Excessive Heat
WEST VIRGINIA,2000,January  ,Excessive Heat
WEST VIRGINIA,2000,January  ,Excessive Heat
MARYLAND,2000,January  ,Excessive Heat
MARYLAND,2000,January  ,Excessive Heat
WEST VIRGINIA,2000,January  ,Excessive Heat
VIRGINIA,2000,January  ,Excessive Heat
VIRGINIA,2000,January  ,Excessive Heat
WEST VIRGINIA,2000,January  ,Excessive Heat
WEST VIRGINIA,2000,January  ,Excessive Heat
VIRGINIA,2000,January  ,Excessive Heat
VIRGINIA,2000,January  ,Excessive Heat
WEST VIRGINIA,2000,January  ,Excessive Heat
VIRGINIA,2000,January  ,Excessive Heat
VIRGINIA,2000,January  ,Excessive Heat
MARYLAND,2000,January  ,Excessive Heat
MARYLAND,2000,January  ,Excessive Heat
MARYLAND,2000,January  ,Excessive Heat
MARYLAND,2000,January  ,Excessive Heat
MARYLAND,2000,January  ,Excessive Heat
MARYLAND,2000,January  ,Excessive Heat
MARYLAND,2000,January  ,Excessive Heat
