STATE,YEAR,MONTH_NAME,EVENT_TYPE
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
MISSOURI,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
CALIFORNIA,2001,January  ,Dense Fog
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
ILLINOIS,2001,January  ,Extreme Cold/Wind Chill
INDIANA,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
INDIANA,2001,January  ,Extreme Cold/Wind Chill
INDIANA,2001,January  ,Extreme Cold/Wind Chill
INDIANA,2001,January  ,Extreme Cold/Wind Chill
KENTUCKY,2001,January  ,Extreme Cold/Wind Chill
INDIANA,2001,January  ,Extreme Cold/Wind Chill
INDIANA,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
KANSAS,2001,January  ,Extreme Cold/Wind Chill
CALIFORNIA,2001,January  ,Dense Fog
CALIFORNIA,2001,January  ,Dense Fog
CALIFORNIA,2001,January  ,Frost/Freeze
CALIFORNIA,2001,January  ,Frost/Freeze
CALIFORNIA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
TENNESSEE,2001,January  ,Winter Storm
FLORIDA,2001,January  ,Frost/Freeze
FLORIDA,2001,January  ,Frost/Freeze
