STATE,YEAR,MONTH_NAME,EVENT_TYPE
NEW JERSEY,1999,January  ,Drought
WEST VIRGINIA,1999,January  ,Heavy Rain
OHIO,1999,January  ,Heavy Rain
OKLAHOMA,1999,January  ,Winter Storm
OKLAHOMA,1999,January  ,Winter Storm
OKLAHOMA,1999,January  ,Winter Storm
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
OKLAHOMA,1999,January  ,Winter Storm
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
OHIO,1999,January  ,Heavy Rain
KENTUCKY,1999,January  ,Heavy Rain
OHIO,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
KENTUCKY,1999,January  ,Heavy Rain
KENTUCKY,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
OHIO,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
KENTUCKY,1999,January  ,Heavy Rain
OHIO,1999,January  ,Heavy Rain
OHIO,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
ALABAMA,1999,January  ,Heat
ALABAMA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
OHIO,1999,January  ,Heavy Rain
OHIO,1999,January  ,Heavy Rain
OHIO,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
WEST VIRGINIA,1999,January  ,Heavy Rain
